date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-23,91.9200,92.7400,90.7400,92.6950,92.6950,870679,0.0000,1.0000
2020-01-22,93.1400,93.7500,92.4700,92.5300,92.5300,6128401,0.0000,1.0000
2020-01-21,92.8300,93.5950,92.1900,92.5300,92.5300,7082418,0.0000,1.0000
2020-01-17,92.8755,93.7500,92.8099,93.6200,93.6200,6962787,0.0000,1.0000
2020-01-16,91.9900,92.6100,91.6300,92.5800,92.5800,5180320,0.0000,1.0000
2020-01-15,91.0000,92.0600,91.0000,91.5400,91.5400,6145518,0.0000,1.0000
2020-01-14,91.1900,91.4400,90.8600,90.9900,90.9900,5855400,0.0000,1.0000
2020-01-13,90.6200,91.7150,90.2100,91.0800,91.0800,7311286,0.0000,1.0000
2020-01-10,90.8000,90.8900,89.6300,90.1600,90.1600,7098085,0.0000,1.0000
2020-01-09,90.2500,91.1600,90.0700,90.5300,90.5300,9450166,0.0000,1.0000
2020-01-08,87.9400,89.3500,87.7800,88.8800,88.8800,7297235,0.0000,1.0000
2020-01-07,87.9600,88.0300,87.1300,87.8600,87.8600,6533541,0.0000,1.0000
2020-01-06,88.1100,88.4100,87.4700,88.1300,88.1300,5409850,0.0000,1.0000
2020-01-03,88.6600,89.1000,88.1000,88.8300,88.8300,4874916,0.0000,1.0000
2020-01-02,88.1200,89.3500,88.0500,89.3500,89.3500,6475843,0.0000,1.0000
2019-12-31,87.4400,87.9900,87.3100,87.9200,87.9200,4116734,0.0000,1.0000
2019-12-30,88.0100,88.2000,87.0600,87.4400,87.4400,4656289,0.0000,1.0000
2019-12-27,88.1100,88.4600,87.6900,88.1300,88.1300,4130878,0.0000,1.0000
2019-12-26,88.7300,88.7600,87.7900,88.0750,88.0750,4180261,0.0000,1.0000
2019-12-24,88.2000,88.5977,88.0000,88.5200,88.5200,1847770,0.0000,1.0000
2019-12-23,88.6200,88.8500,88.1750,88.2300,88.2300,4349884,0.0000,1.0000
2019-12-20,88.7850,89.0000,87.8900,88.4600,88.4600,14271655,0.0000,1.0000
2019-12-19,87.8300,88.5850,87.5800,88.5200,88.5200,6023454,0.0000,1.0000
2019-12-18,88.3900,88.8500,87.8150,87.9900,87.9900,5859211,0.0000,1.0000
2019-12-17,88.8700,88.9700,87.4700,88.1300,88.1300,7297423,0.0000,1.0000
2019-12-16,89.1400,89.3000,88.4300,88.7800,88.7800,6706045,0.0000,1.0000
2019-12-13,88.0200,88.7897,87.5800,88.6700,88.6700,6718109,0.0000,1.0000
2019-12-12,88.0000,88.8868,87.5400,88.2100,88.2100,10293873,0.0000,1.0000
2019-12-11,86.2600,86.8699,85.8500,86.5900,86.5900,4922698,0.0000,1.0000
2019-12-10,86.5000,87.4650,85.9100,86.0400,86.0400,7945126,0.0000,1.0000
2019-12-09,86.3100,86.6300,85.9600,86.2800,86.2800,7170822,0.0000,1.0000
2019-12-06,85.0300,86.5300,85.0300,86.3200,86.3200,8501814,0.0000,1.0000
2019-12-05,85.4400,85.4826,84.3200,84.4500,84.4500,5171388,0.0000,1.0000
2019-12-04,85.1300,85.5400,84.7048,85.4000,85.4000,5940602,0.0000,1.0000
2019-12-03,84.0300,85.0000,83.8213,84.8200,84.8200,6077628,0.0000,1.0000
2019-12-02,85.3800,85.7700,83.8200,84.5700,84.5700,6428428,0.0000,1.0000
2019-11-29,85.9100,86.7300,85.2500,85.4300,85.4300,3857027,0.0000,1.0000
2019-11-27,84.8500,85.8100,84.4200,85.7700,85.7700,7506564,0.0000,1.0000
2019-11-26,84.1300,84.6500,84.0000,84.5600,84.5600,7652316,0.0000,1.0000
2019-11-25,83.1600,84.0000,82.9300,83.7500,83.7500,5450981,0.0000,1.0000
2019-11-22,82.6900,83.3900,82.6600,83.0200,83.0200,6080782,0.0000,1.0000
2019-11-21,83.7500,84.0400,81.7620,82.3000,82.3000,8300483,0.0000,1.0000
2019-11-20,83.5400,84.4900,82.9800,83.6000,83.6000,6251318,0.0000,1.0000
