Date,Date Range (quarters),Stores Number
1992-01-01T00:00:00Z,1992Q1,127.0
1992-04-01T00:00:00Z,1992Q2,139.0
1992-07-01T00:00:00Z,1992Q3,151.0
1992-10-01T00:00:00Z,1992Q4,165.0
1993-01-01T00:00:00Z,1993Q1,183.0
1993-04-01T00:00:00Z,1993Q2,208.0
1993-07-01T00:00:00Z,1993Q3,241.0
1993-10-01T00:00:00Z,1993Q4,272.0
1994-01-01T00:00:00Z,1994Q1,300.0
1994-04-01T00:00:00Z,1994Q2,338.0
1994-07-01T00:00:00Z,1994Q3,378.0
1994-10-01T00:00:00Z,1994Q4,425.0
1995-01-01T00:00:00Z,1995Q1,483.0
1995-04-01T00:00:00Z,1995Q2,540.0
1995-07-01T00:00:00Z,1995Q3,608.0
1995-10-01T00:00:00Z,1995Q4,677.0
1996-01-01T00:00:00Z,1996Q1,746.0
1996-04-01T00:00:00Z,1996Q2,831.0
1996-07-01T00:00:00Z,1996Q3,903.0
1996-10-01T00:00:00Z,1996Q4,1015.0
1997-01-01T00:00:00Z,1997Q1,1121.0
1997-04-01T00:00:00Z,1997Q2,1205.0
1997-07-01T00:00:00Z,1997Q3,1306.0
1997-10-01T00:00:00Z,1997Q4,1412.0
1998-01-01T00:00:00Z,1998Q1,1568.0
1998-04-01T00:00:00Z,1998Q2,1665.0
1998-07-01T00:00:00Z,1998Q3,1778.0
1998-10-01T00:00:00Z,1998Q4,1886.0
1999-01-01T00:00:00Z,1999Q1,2028.0
1999-04-01T00:00:00Z,1999Q2,2191.0
1999-07-01T00:00:00Z,1999Q3,2311.0
1999-10-01T00:00:00Z,1999Q4,2498.0
2000-01-01T00:00:00Z,2000Q1,2674.0
2000-04-01T00:00:00Z,2000Q2,2885.0
2000-07-01T00:00:00Z,2000Q3,3215.0
2000-10-01T00:00:00Z,2000Q4,3501.0
2001-01-01T00:00:00Z,2001Q1,3817.0
2001-04-01T00:00:00Z,2001Q2,4135.0
2001-07-01T00:00:00Z,2001Q3,4435.0
2001-10-01T00:00:00Z,2001Q4,4709.0
2002-01-01T00:00:00Z,2002Q1,5104.0
2002-04-01T00:00:00Z,2002Q2,5368.0
2002-07-01T00:00:00Z,2002Q3,5608.0
