Date,Segment,Value,Share
2009-01-01,All Other Segments,555.0,3.29
2009-01-01,CAP,2404.0,14.25
2009-01-01,EMEA,1572.0,9.32
2009-01-01,The Americas,12344.0,73.15
2009-04-01,All Other Segments,554.0,3.29
2009-04-01,CAP,2434.0,14.43
2009-04-01,EMEA,1596.0,9.47
2009-04-01,The Americas,12278.0,72.81
2009-07-01,All Other Segments,554.0,3.31
2009-07-01,CAP,2456.0,14.68
2009-07-01,EMEA,1617.0,9.67
2009-07-01,The Americas,12102.0,72.34
2009-10-01,All Other Segments,557.0,3.35
2009-10-01,CAP,2471.0,14.85
2009-10-01,EMEA,1618.0,9.73
2009-10-01,The Americas,11989.0,72.07
2010-01-01,All Other Segments,561.0,3.36
2010-01-01,CAP,2488.0,14.89
2010-01-01,EMEA,1595.0,9.55
2010-01-01,The Americas,12062.0,72.2
2010-04-01,All Other Segments,557.0,3.34
2010-04-01,CAP,2501.0,15.01
2010-04-01,EMEA,1593.0,9.56
2010-04-01,The Americas,12013.0,72.09
2010-07-01,All Other Segments,566.0,3.38
2010-07-01,CAP,2526.0,15.09
2010-07-01,EMEA,1615.0,9.65
2010-07-01,The Americas,12030.0,71.88
2010-10-01,All Other Segments,566.0,3.36
2010-10-01,CAP,2580.0,15.3
2010-10-01,EMEA,1654.0,9.81
2010-10-01,The Americas,12058.0,71.53
2011-01-01,All Other Segments,561.0,3.3
2011-01-01,CAP,2642.0,15.53
2011-01-01,EMEA,1685.0,9.91
2011-01-01,The Americas,12121.0,71.26
2011-04-01,All Other Segments,336.0,1.99
2011-04-01,CAP,2698.0,16.0
2011-04-01,EMEA,1694.0,10.05
2011-04-01,The Americas,12135.0,71.96
2011-07-01,All Other Segments,340.0,2.0
2011-07-01,CAP,2765.0,16.25
2011-07-01,EMEA,1730.0,10.17
2011-07-01,The Americas,12183.0,71.59
2011-10-01,All Other Segments,94.0,0.55
2011-10-01,CAP,2846.0,16.74
2011-10-01,EMEA,1758.0,10.34
2011-10-01,The Americas,12305.0,72.37
2012-01-01,All Other Segments,93.0,0.54
2012-01-01,CAP,2967.0,17.21
2012-01-01,EMEA,1783.0,10.34
2012-01-01,The Americas,12401.0,71.91
2012-04-01,All Other Segments,97.0,0.56
2012-04-01,CAP,3050.0,17.51
2012-04-01,EMEA,1800.0,10.33
2012-04-01,The Americas,12473.0,71.6
